date,division,index
1/1/2005,10,90.79166667
1/1/2006,10,92.26666667
1/1/2007,10,93.88333333
1/1/2008,10,96.1
1/1/2009,10,98.33333333
1/1/2010,10,100
1/1/2011,10,102.2333333
1/1/2012,10,104.6833333
1/1/2013,10,107.225
1/1/2014,10,109.75
1/1/2015,10,112.4
1/1/2016,10,114.825
1/1/2017,10,116.7083333
1/1/2018,10,118.0333333
1/1/2019,10,119.6916667
1/1/2020,10,120.9
1/1/2021,10,121.05
1/1/2022,10,122.4
1/1/2023,10,124.6666667
1/1/2024,10,126.5916667
1/1/2005,11,83.01666667
1/1/2006,11,86.06666667
1/1/2007,11,89.26666667
1/1/2008,11,95.13333333
1/1/2009,11,97.91666667
1/1/2010,11,100
1/1/2011,11,105.8666667
1/1/2012,11,109.0083333
1/1/2013,11,111.6666667
1/1/2014,11,116.85
1/1/2015,11,121.7416667
1/1/2016,11,125.1083333
1/1/2017,11,128.2416667
1/1/2018,11,130.1833333
1/1/2019,11,131.7833333
1/1/2020,11,132.3666667
1/1/2021,11,132.9
1/1/2022,11,139.5333333
1/1/2023,11,147.2666667
1/1/2024,11,151.8583333
1/1/2010,12,99.98333333
1/1/2011,12,100.1416667
1/1/2012,12,101.4
1/1/2013,12,102.9916667
1/1/2014,12,104.4833333
1/1/2015,12,108.7666667
1/1/2016,12,111.25
1/1/2017,12,111.6
1/1/2018,12,110.2833333
1/1/2019,12,109.8916667
1/1/2020,12,109.8833333
1/1/2021,12,109.9
1/1/2022,12,110.075
1/1/2023,12,110.2416667
1/1/2024,12,110.5
1/1/1980,13,45.86349816
1/1/1981,13,50.04742214
1/1/1982,13,51.22050792
1/1/1983,13,54.51532072
1/1/1984,13,55.37521443
1/1/1985,13,55.34451265
1/1/1986,13,56.08604914
1/1/1987,13,56.4298745
1/1/1988,13,57.48471907
1/1/1989,13,58.99818836
1/1/1990,13,60.72922321
1/1/1991,13,62.89878001
1/1/1992,13,64.31312062
1/1/1993,13,66.02624808
1/1/1994,13,67.61592592
1/1/1995,13,70.46599702
1/1/1996,13,72.23516541
1/1/1997,13,75.54349845
1/1/1998,13,80.83412294
1/1/1999,13,82.06721861
1/1/2000,13,82.83333333
1/1/2001,13,83.43333333
1/1/2002,13,84.35833333
1/1/2003,13,85.425
1/1/2004,13,86.99166667
1/1/2005,13,88.38333333
1/1/2006,13,90.38333333
1/1/2007,13,91.21666667
1/1/2008,13,94.28333333
1/1/2009,13,97.75833333
1/1/2010,13,100.0166667
1/1/2011,13,102.4166667
1/1/2012,13,104.4
1/1/2013,13,104.7166667
1/1/2014,13,105.35
1/1/2015,13,109.725
1/1/2016,13,112.875
1/1/2017,13,114.1916667
1/1/2018,13,112.575
1/1/2019,13,113
1/1/2020,13,115.9916667
1/1/2021,13,116.5583333
1/1/2022,13,118.8666667
1/1/2023,13,121.8083333
1/1/2024,13,125.4666667
