date,division,inflation
1/1/1987,5,0.903470219
1/1/1988,5,2.880050772
1/1/1989,5,2.702158194
1/1/1990,5,1.824487541
1/1/1991,5,4.42341358
1/1/1992,5,2.677818842
1/1/1993,5,1.329441485
1/1/1994,5,1.583215421
1/1/1995,5,2.757728007
1/1/1996,5,1.111725125
1/1/1997,5,0.136327338
1/1/1998,5,3.852049977
1/1/1999,5,1.334845385
1/1/2000,5,0.015229654
1/1/2001,5,0.146359312
1/1/2002,5,-0.502374863
1/1/2003,5,-0.477370789
1/1/2004,5,0.341296928
1/1/2005,5,1.296194153
1/1/2006,5,1.10717851
1/1/2007,5,1.086078449
1/1/2008,5,2.974604866
1/1/2009,5,3.026644822
1/1/2010,5,0.376632072
1/1/2011,5,1.817727007
1/1/2012,5,1.990009008
1/1/2013,5,1.581821102
1/1/2014,5,1.051300292
1/1/2015,5,2.675219024
1/1/2016,5,2.354106354
1/1/2017,5,2.18087086
1/1/2018,5,0.378787879
1/1/2019,5,1.400580552
1/1/2020,5,0.236169756
1/1/2021,5,1.627873768
1/1/2022,5,3.54081776
1/1/2023,5,2.27303569
1/1/2024,5,0.743050488
1/1/1981,6,8.985864071
1/1/1982,6,4.961305447
1/1/1983,6,13.62047546
1/1/1984,6,1.18043587
1/1/1985,6,2.324404372
1/1/1986,6,1.537303707
1/1/1987,6,-0.256401351
1/1/1988,6,1.479543855
1/1/1989,6,1.656566814
1/1/1990,6,2.637379007
1/1/1991,6,5.309997575
1/1/1992,6,3.514468446
1/1/1993,6,5.088307616
1/1/1994,6,3.394451488
1/1/1995,6,3.05808167
1/1/1996,6,3.670772088
1/1/1997,6,3.634415902
1/1/1998,6,6.178535624
1/1/1999,6,3.047621077
1/1/2000,6,2.05652665
1/1/2001,6,2.908980337
1/1/2002,6,2.373682655
1/1/2003,6,1.751010198
1/1/2004,6,1.352118003
1/1/2005,6,1.875174923
1/1/2006,6,2.188644689
1/1/2007,6,1.487588494
1/1/2008,6,2.233995585
1/1/2009,6,2.219727069
1/1/2010,6,1.411068864
1/1/2011,6,2.716213964
1/1/2012,6,2.027903958
1/1/2013,6,1.908093497
1/1/2014,6,2.870962709
1/1/2015,6,4.428939785
1/1/2016,6,2.745098039
1/1/2017,6,2.558665536
1/1/2018,6,0.799448656
1/1/2019,6,0.635853959
1/1/2020,6,1.175351586
1/1/2021,6,0.43647596
1/1/2022,6,0.708698268
1/1/2023,6,2.117772024
1/1/2024,6,1.794305032
1/1/1981,7,7.863968241
1/1/1982,7,3.362467889
1/1/1983,7,2.429074366
1/1/1984,7,5.018922864
1/1/1985,7,2.18070504
1/1/1986,7,0.403819643
1/1/1987,7,3.114186241
1/1/1988,7,6.75135036
1/1/1989,7,6.799358595
1/1/1990,7,4.983291201
1/1/1991,7,4.210095825
1/1/1992,7,4.438500312
1/1/1993,7,5.600223008
1/1/1994,7,4.629306847
1/1/1995,7,1.807685512
1/1/1996,7,1.351902762
1/1/1997,7,0.58134692
1/1/1998,7,-0.08002751
1/1/1999,7,0.497233474
1/1/2000,7,2.059775208
1/1/2001,7,3.678891791
1/1/2002,7,6.527214982
1/1/2003,7,1.665467256
1/1/2004,7,0.717969461
1/1/2005,7,5.742971888
1/1/2006,7,10.9475883
1/1/2007,7,2.327770646
1/1/2008,7,8.881826545
1/1/2009,7,-9.440049159
1/1/2010,7,1.798134012
1/1/2011,7,4.399266789
1/1/2012,7,0.694333599
1/1/2013,7,1.997305223
1/1/2014,7,4.810008548
1/1/2015,7,-4.522538553
1/1/2016,7,-4.550396024
1/1/2017,7,13.17116824
1/1/2018,7,1.509596722
1/1/2019,7,-3.123008286
1/1/2020,7,-9.985380117
1/1/2021,7,11.01185642
1/1/2022,7,4.674469642
1/1/2023,7,1.083234328
