Date,Labor Force,Labor Force_employed,Labor Force_unemployed,Labor Force_outside,LF_Participation_rate,Employment-to-Population_ratio,Unemployment_rate
1-Apr-22,16502.8,15853.5,649.3,7270.2,69.4,66.7,3.9
1-May-22,16537.8,15900,637.7,7260.1,69.5,66.8,3.9
1-Jun-22,16566.9,15936.3,630.6,7255.5,69.5,66.9,3.8
1-Jul-22,16599.2,15978.4,620.7,7247.9,69.6,67,3.7
1-Aug-22,16629.7,16017.7,612,7242,69.7,67.1,3.7
1-Sep-22,16657.2,16052.2,605,7239.2,69.7,67.2,3.6
1-Oct-22,16683.5,16081.5,602,7237.3,69.7,67.2,3.6
1-Nov-22,16709.4,16108.6,600.9,7235.7,69.8,67.3,3.6
1-Dec-22,16730,16130.4,599.6,7239.5,69.8,67.3,3.6
1-Jan-23,16755.4,16159.3,596.1,7238.3,69.8,67.3,3.6
1-Feb-23,16781.2,16189.3,591.9,7236.7,69.9,67.4,3.5
1-Mar-23,16811.7,16223,588.7,7230.6,69.9,67.5,3.5
1-Apr-23,16838.4,16251.4,586.9,7228.2,70,67.5,3.5
1-May-23,16864.1,16279.5,584.6,7226.8,70,67.6,3.5
1-Jun-23,16889.4,16307.8,581.7,7225.7,70,67.6,3.4
1-Jul-23,16914.2,16335,579.2,7225,70.1,67.7,3.4
1-Aug-23,16932.1,16354.9,577.3,7231.3,70.1,67.7,3.4
1-Sep-23,16948.8,16375.1,573.7,7238.9,70.1,67.7,3.4
1-Oct-23,16974.1,16403.2,570.9,7237.6,70.1,67.7,3.4
1-Nov-23,17000.4,16431.1,569.2,7235.4,70.1,67.8,3.3
1-Dec-23,17025.5,16457.7,567.8,7234.3,70.2,67.8,3.3
1-Jan-24,17050.3,16483,567.3,7233.4,70.2,67.9,3.3
1-Feb-24,17074.9,16507.9,567,7232.7,70.2,67.9,3.3
1-Mar-24,17098.7,16532.2,566.6,7232.5,70.3,67.9,3.3
1-Apr-24,17122.1,16555.7,566.4,7233.1,70.3,68,3.3
1-May-24,17145.9,16579.9,566.1,7232.9,70.3,68,3.3
1-Jun-24,17171.1,16605.7,565.3,7231.7,70.4,68,3.3
1-Jul-24,17195.7,16632,563.7,7230.7,70.4,68.1,3.3
1-Aug-24,17219.9,16661.4,558.5,7230,70.4,68.1,3.2
1-Sep-24,17244.3,16689,555.3,7229.2,70.5,68.2,3.2
1-Oct-24,17268.9,16717.5,551.4,7228,70.5,68.2,3.2
1-Nov-24,17293.8,16747,546.7,7226.7,70.5,68.3,3.2
1-Dec-24,17319.7,16775.4,544.3,7224,70.6,68.3,3.2
1-Jan-25,17218.2,16684.4,533.8,7154.8,70.6,68.5,3.1
1-Feb-25,17266.9,16734.1,532.8,7153.1,70.7,68.5,3.1
1-Mar-25,17308.1,16778.5,529.6,7158.1,70.7,68.6,3.1
1-Apr-25,17344.5,16818.6,525.9,7169.4,70.8,68.6,3
1-May-25,17384.8,16862.4,522.4,7176.8,70.8,68.7,3
1-Jun-25,17434,16915.3,518.7,7176.5,70.8,68.7,3
1-Jul-25,17470.5,16948.9,521.6,7189.3,70.8,68.7,3
