,Unnamed: 0,inflation,ppi,cpi,lf,p_rate,u_rate,lf_unemployed,lf_outside,ep_ratio,inflation_lag1,inflation_lag2,inflation_lag3,inflation_lag4,inflation_lag5,inflation_lag6,time_index,ppi_ma3,u_rate_ma3,economic_indicator_index,economic_indicator_index_norm,is_forecasted
10,16,3.76273117450272,113.2,102.9,12726.6,64.1,3.1,396.3,7133.2,62.1,3.452374052345686,3.245882287770141,3.142739548221929,2.6295915902705858,2.01748667024908,1.6110425002480833,16,112.73333333333335,3.0,-3.3377886295607704,26.221727832989018,0
11,17,4.074019368026227,113.5,103.2,12782.7,64.4,3.2,410.1,7073.7,62.3,3.76273117450272,3.452374052345686,3.245882287770141,3.142739548221929,2.6295915902705858,2.01748667024908,17,113.3,3.1,-3.162823417606887,29.89211300577223,0
12,18,4.282167406762283,113.3,103.4,12967.4,65.2,3.0,385.9,6920.5,63.3,4.074019368026227,3.76273117450272,3.452374052345686,3.245882287770141,3.142739548221929,2.6295915902705858,18,113.33333333333333,3.1,-2.943447364150619,34.494139916595,0
13,19,4.490731741575815,113.5,103.6,12887.9,64.7,3.1,401.2,7038.6,62.7,4.282167406762283,4.074019368026227,3.76273117450272,3.452374052345686,3.245882287770141,3.142739548221929,19,113.43333333333334,3.1,-3.041152977940992,32.44449111984797,0
14,20,4.804203936800522,113.2,103.9,12875.9,64.7,3.2,419.0,7032.2,62.6,4.490731741575815,4.282167406762283,4.074019368026227,3.76273117450272,3.452374052345686,3.245882287770141,20,113.33333333333333,3.1,-2.993570712523463,33.44266235357851,0
15,21,4.909008140737314,112.9,104.0,12938.2,64.7,3.0,388.1,7045.7,62.8,4.804203936800522,4.490731741575815,4.282167406762283,4.074019368026227,3.76273117450272,3.452374052345686,21,113.2,3.1,-3.0422937122441125,32.420561024113496,0
16,22,5.013917148878044,112.2,104.1,12722.4,63.7,3.1,398.7,7245.7,61.7,4.909008140737314,4.804203936800522,4.490731741575815,4.282167406762283,4.074019368026227,3.76273117450272,22,112.76666666666667,3.1,-3.3662781345608805,25.624080703227605,0
17,23,5.118931066026922,113.4,104.2,13092.1,65.2,3.1,404.9,6997.3,63.2,5.013917148878044,4.909008140737314,4.804203936800522,4.490731741575815,4.282167406762283,4.074019368026227,23,112.83333333333333,3.0666666666666664,-2.782034922102273,37.880217796768875,0
18,24,5.434287859224996,113.4,104.5,13191.6,65.7,3.1,410.4,6878.5,63.7,5.118931066026922,5.013917148878044,4.909008140737314,4.804203936800522,4.490731741575815,4.282167406762283,24,113.0,3.1,-2.585207861804069,42.00921644543424,0
19,25,5.434287859224996,114.0,104.5,13054.5,65.0,3.1,408.9,7042.3,62.9,5.434287859224996,5.118931066026922,5.013917148878044,4.909008140737314,4.804203936800522,4.490731741575815,25,113.60000000000001,3.1,-2.7935580993498843,37.63848689243269,0
20,26,5.434287859224996,115.3,104.5,13295.4,65.8,3.0,401.6,6897.3,63.8,5.434287859224996,5.434287859224996,5.118931066026922,5.013917148878044,4.909008140737314,4.804203936800522,26,114.23333333333333,3.0666666666666664,-2.479240677320851,44.23217481747509,0
21,27,5.434287859224996,115.8,104.5,13331.8,66.0,3.0,394.8,6851.3,64.1,5.434287859224996,5.434287859224996,5.434287859224996,5.118931066026922,5.013917148878044,4.909008140737314,27,115.03333333333335,3.0333333333333337,-2.3933096104353444,46.03481952756259,0
22,28,5.645156434943455,114.1,104.7,13245.6,65.6,2.9,384.4,6952.9,63.7,5.434287859224996,5.434287859224996,5.434287859224996,5.434287859224996,5.118931066026922,5.013917148878044,28,115.06666666666666,2.966666666666667,-2.612450960887675,41.43771616934801,0
