Date,Variable,Age,SRU
1-Jul-22,Rate,45+,20.5
1-Oct-22,Rate,45+,18.8
1-Jan-23,Rate,45+,19.9
1-Apr-23,Rate,45+,19.9
1-Jul-23,Rate,45+,21.7
1-Oct-23,Rate,45+,21.8
1-Jan-24,Rate,45+,22.1
1-Apr-24,Rate,45+,19.5
1-Jul-24,Rate,45+,21.5
1-Oct-24,Rate,45+,25.3
1-Jan-17,Persons,45+,123.8
1-Apr-17,Persons,45+,148.1
1-Jul-17,Persons,45+,145.5
1-Oct-17,Persons,45+,142.9
1-Jan-18,Persons,45+,139.5
1-Apr-18,Persons,45+,148.4
1-Jul-18,Persons,45+,144.8
1-Oct-18,Persons,45+,142.3
1-Jan-19,Persons,45+,172
1-Apr-19,Persons,45+,152.8
1-Jul-19,Persons,45+,176
1-Oct-19,Persons,45+,172.7
1-Jan-20,Persons,45+,201.8
1-Apr-20,Persons,45+,246.9
1-Jul-20,Persons,45+,190.9
1-Oct-20,Persons,45+,227.6
1-Jan-21,Persons,45+,212.5
1-Apr-21,Persons,45+,313.5
1-Jul-21,Persons,45+,219.7
1-Oct-21,Persons,45+,258.3
1-Jan-22,Persons,45+,195.7
1-Apr-22,Persons,45+,210.6
1-Jul-22,Persons,45+,201.9
1-Oct-22,Persons,45+,194.2
1-Jan-23,Persons,45+,206.8
1-Apr-23,Persons,45+,204.8
1-Jul-23,Persons,45+,223.3
1-Oct-23,Persons,45+,227.9
1-Jan-24,Persons,45+,213.6
1-Apr-24,Persons,45+,189.1
1-Jul-24,Persons,45+,222.3
1-Oct-24,Persons,45+,298.7
