state,date,division,index
Kedah,1/12/2013,overall,109.1
Kedah,1/1/2014,overall,109.7
Kedah,1/2/2014,overall,110
Kedah,1/3/2014,overall,110.2
Kedah,1/4/2014,overall,110.1
Kedah,1/5/2014,overall,110
Kedah,1/6/2014,overall,110.1
Kedah,1/7/2014,overall,110.3
Kedah,1/8/2014,overall,110.4
Kedah,1/9/2014,overall,110.6
Kedah,1/10/2014,overall,111.4
Kedah,1/11/2014,overall,111.7
Kedah,1/12/2014,overall,111.6
Kedah,1/1/2015,overall,110.4
Kedah,1/2/2015,overall,109.6
Kedah,1/3/2015,overall,110.7
Kedah,1/4/2015,overall,111.5
Kedah,1/5/2015,overall,112.2
Kedah,1/6/2015,overall,112.8
Kedah,1/7/2015,overall,113.7
Kedah,1/8/2015,overall,113.5
Kedah,1/9/2015,overall,113.4
Kedah,1/10/2015,overall,113.9
Kedah,1/11/2015,overall,114.2
Kedah,1/12/2015,overall,114.1
Kedah,1/1/2016,overall,114
Kedah,1/2/2016,overall,113.6
Kedah,1/3/2016,overall,113
Kedah,1/4/2016,overall,113.5
Kedah,1/5/2016,overall,113.7
Kedah,1/6/2016,overall,114
Kedah,1/7/2016,overall,114.4
Kedah,1/8/2016,overall,114.8
Kedah,1/9/2016,overall,114.5
Kedah,1/10/2016,overall,114.9
Kedah,1/11/2016,overall,115.8
Kedah,1/12/2016,overall,116
Kedah,1/1/2017,overall,117.6
Kedah,1/2/2017,overall,119.1
Kedah,1/3/2017,overall,119
Kedah,1/4/2017,overall,118.6
Kedah,1/5/2017,overall,118.3
Kedah,1/6/2017,overall,118.1
Kedah,1/7/2017,overall,118
Kedah,1/8/2017,overall,119.1
Kedah,1/9/2017,overall,119.5
Kedah,1/10/2017,overall,119.2
Kedah,1/11/2017,overall,119.9
Kedah,1/12/2017,overall,120
Kedah,1/1/2018,overall,114.3
Kedah,1/2/2018,overall,114.5
Kedah,1/3/2018,overall,113.9
Kedah,1/4/2018,overall,119.8
Kedah,1/5/2018,overall,119.8
Kedah,1/6/2018,overall,118.5
Kedah,1/7/2018,overall,118.5
Kedah,1/8/2018,overall,118.7
Kedah,1/9/2018,overall,118.9
Kedah,1/10/2018,overall,119.1
Kedah,1/11/2018,overall,119.1
Kedah,1/12/2018,overall,119.3
Kedah,1/1/2019,overall,118.5
Kedah,1/2/2019,overall,118.8
Kedah,1/3/2019,overall,119.2
Kedah,1/4/2019,overall,119.1
Kedah,1/5/2019,overall,119.4
Kedah,1/6/2019,overall,119.4
Kedah,1/7/2019,overall,119.5
Kedah,1/8/2019,overall,119.8
Kedah,1/9/2019,overall,119.8
Kedah,1/10/2019,overall,120
Kedah,1/11/2019,overall,120
Kedah,1/12/2019,overall,120.2
Kedah,1/1/2020,overall,120.2
Kedah,1/2/2020,overall,120.1
Kedah,1/3/2020,overall,118.5
Kedah,1/4/2020,overall,114.6
Kedah,1/5/2020,overall,115
Kedah,1/6/2020,overall,116.4
Kedah,1/7/2020,overall,117.2
Kedah,1/8/2020,overall,117.3
Kedah,1/9/2020,overall,117.3
Kedah,1/10/2020,overall,117.2
Kedah,1/11/2020,overall,116.9
Kedah,1/12/2020,overall,117.6
Kedah,1/1/2021,overall,119.3
Kedah,1/2/2021,overall,119.8
Kedah,1/3/2021,overall,120.3
Kedah,1/4/2021,overall,120.5
Kedah,1/5/2021,overall,120.5
Kedah,1/6/2021,overall,120.5
Kedah,1/7/2021,overall,119.7
Kedah,1/8/2021,overall,119.8
Kedah,1/9/2021,overall,119.9
Kedah,1/10/2021,overall,120.9
Kedah,1/11/2021,overall,121.2
Kedah,1/12/2021,overall,121.9
Kedah,1/1/2022,overall,122.1
Kedah,1/2/2022,overall,122.4
Kedah,1/3/2022,overall,122.6
Kedah,1/4/2022,overall,122.8
Kedah,1/5/2022,overall,123.1
Kedah,1/6/2022,overall,123.6
Kedah,1/7/2022,overall,123.9
Kedah,1/8/2022,overall,123.9
Kedah,1/9/2022,overall,124
Kedah,1/10/2022,overall,124.2
Kedah,1/11/2022,overall,124.5
Kedah,1/12/2022,overall,124.6
Kedah,1/1/2023,overall,124.8
Kedah,1/2/2023,overall,125.2
Kedah,1/3/2023,overall,125.2
Kedah,1/4/2023,overall,125.3
Kedah,1/5/2023,overall,125.5
Kedah,1/6/2023,overall,125.6
Kedah,1/7/2023,overall,125.7
Kedah,1/8/2023,overall,125.7
Kedah,1/9/2023,overall,125.8
Kedah,1/10/2023,overall,125.8
Kedah,1/11/2023,overall,126
Kedah,1/12/2023,overall,126.2
Kedah,1/1/2024,overall,126.4
Kedah,1/2/2024,overall,126.3
Kedah,1/3/2024,overall,127
Kedah,1/4/2024,overall,127
Kedah,1/5/2024,overall,127.3
Kedah,1/6/2024,overall,127.4
Kedah,1/7/2024,overall,127.5
Kedah,1/8/2024,overall,127.5
Kedah,1/9/2024,overall,127.5
Kedah,1/10/2024,overall,127.6
Kedah,1/11/2024,overall,127.5
Kedah,1/12/2024,overall,127.4
Kedah,1/1/2025,overall,127.6
Kedah,1/2/2025,overall,127.9
Kedah,1/3/2025,overall,127.8
